iter	Passed	Remaining
0	71	35527
1	154	38533
2	259	42949
3	333	41304
4	412	40882
5	499	41155
6	587	41408
7	680	41845
8	769	41972
9	857	42007
10	942	41880
11	1036	42146
12	1119	41950
13	1203	41793
14	1298	41973
15	1371	41484
16	1461	41525
17	1545	41378
18	1619	40997
19	1722	41338
20	1811	41316
21	1901	41309
22	2060	42723
23	2180	43252
24	2267	43086
25	2345	42754
26	2421	42427
27	2490	41977
28	2575	41822
29	2660	41676
30	2742	41497
31	2828	41360
32	2900	41040
33	3016	41342
34	3101	41201
35	3188	41096
36	3269	40917
37	3392	41241
38	3473	41062
39	3569	41047
40	3655	40924
41	3752	40921
42	3843	40851
43	3934	40775
44	4026	40715
45	4112	40587
46	4202	40506
47	4295	40448
48	4387	40382
49	4469	40228
50	4536	39935
51	4616	39773
52	4708	39707
53	4802	39665
54	4894	39601
55	4970	39405
56	5042	39193
57	5145	39208
58	5229	39091
59	5321	39024
60	5408	38926
61	5496	38827
62	5586	38749
63	5680	38695
64	5764	38574
65	5850	38471
66	5938	38376
67	6005	38155
68	6082	37991
69	6169	37898
70	6255	37795
71	6346	37727
72	6441	37675
73	6526	37573
74	6614	37483
75	6698	37371
76	6793	37321
77	6865	37143
78	6947	37024
79	7027	36893
80	7130	36886
81	7221	36810
82	7311	36732
83	7400	36652
84	7486	36553
85	7590	36539
86	7680	36459
87	7789	36467
88	7870	36344
89	7957	36249
90	8038	36130
91	8136	36085
92	8216	35956
93	8297	35838
94	8393	35784
95	8492	35741
96	8589	35685
97	8697	35676
98	8785	35587
99	8859	35439
100	8955	35377
101	9043	35285
102	9127	35179
103	9208	35061
104	9284	34928
105	9339	34713
106	9404	34540
107	9489	34441
108	9574	34344
109	9649	34210
110	9735	34117
111	9877	34218
112	9956	34100
113	10045	34013
114	10123	33890
115	10213	33809
116	10275	33636
117	10357	33530
118	10436	33414
119	10516	33302
120	10604	33215
121	10709	33180
122	10784	33055
123	10862	32937
124	10936	32808
125	11004	32664
126	11085	32557
127	11157	32426
128	11240	32327
129	11316	32207
130	11378	32051
131	11471	31981
132	11558	31893
133	11644	31805
134	11718	31684
135	11786	31545
136	11866	31441
137	11954	31358
138	12037	31263
139	12138	31214
140	12197	31056
141	12279	30958
142	12367	30875
143	12447	30774
144	12526	30669
145	12619	30598
146	12703	30506
147	12785	30408
148	12863	30302
149	12950	30218
150	13034	30125
151	13103	30001
152	13195	29927
153	13271	29818
154	13344	29702
155	13426	29607
156	13489	29471
157	13564	29360
158	13636	29246
159	13733	29184
160	13807	29073
161	13885	28970
162	13958	28859
163	14035	28755
164	14129	28686
165	14199	28570
166	14283	28482
167	14371	28401
168	14462	28326
169	14543	28231
170	14611	28111
171	14690	28013
172	14774	27927
173	14880	27879
174	14972	27805
175	15040	27687
176	15104	27563
177	15201	27500
178	15291	27422
179	15373	27331
180	15423	27183
181	15513	27106
182	15598	27020
183	15690	26947
184	15784	26876
185	15870	26791
186	15960	26714
187	16044	26626
188	16128	26539
189	16226	26474
190	16307	26382
191	16382	26280
192	16455	26174
193	16541	26091
194	16613	25985
195	16697	25898
196	16778	25806
197	16863	25720
198	16932	25611
199	17005	25508
200	17088	25420
201	17176	25339
202	17253	25243
203	17335	25153
204	17416	25062
205	17479	24946
206	17562	24859
207	17638	24761
208	17725	24680
209	17801	24582
210	17873	24480
211	17953	24390
212	18043	24311
213	18130	24230
214	18210	24139
215	18298	24059
216	18349	23930
217	18426	23836
218	18518	23760
219	18602	23675
220	18665	23563
221	18765	23499
222	18897	23473
223	18959	23361
224	19035	23265
225	19128	23191
226	19210	23103
227	19282	23003
228	19358	22909
229	19475	22862
230	19577	22798
231	19665	22717
232	19744	22625
233	19847	22561
234	19948	22494
235	20020	22396
236	20118	22325
237	20211	22250
238	20283	22151
239	20368	22065
240	20454	21981
241	20565	21925
242	20665	21856
243	20787	21809
244	20884	21737
245	20965	21647
246	21078	21590
247	21171	21512
248	21269	21440
249	21350	21350
250	21445	21274
251	21533	21192
252	21623	21110
253	21709	21025
254	21786	20932
255	21880	20854
256	21991	20793
257	22133	20760
258	22344	20791
259	22471	20743
260	22573	20670
261	22696	20617
262	22814	20558
263	22912	20482
264	23005	20400
265	23085	20308
266	23180	20228
267	23273	20147
268	23389	20085
269	23478	19999
270	23560	19909
271	23667	19838
272	23745	19744
273	23832	19657
274	23929	19578
275	24033	19505
276	24142	19435
277	24231	19350
278	24331	19273
279	24428	19193
280	24533	19120
281	24651	19056
282	24748	18976
283	24865	18911
284	24974	18840
285	25061	18752
286	25164	18676
287	25239	18578
288	25327	18491
289	25422	18409
290	25497	18312
291	25586	18226
292	25678	18141
293	25757	18047
294	25847	17961
295	25957	17889
296	26061	17812
297	26151	17726
298	26243	17642
299	26362	17575
300	26457	17491
301	26571	17421
302	26678	17345
303	26766	17257
304	26859	17172
305	26949	17085
306	27042	17000
307	27137	16916
308	27229	16831
309	27326	16748
310	27442	16677
311	27549	16600
312	27646	16517
313	27734	16428
314	27832	16346
315	27924	16259
316	28038	16186
317	28142	16106
318	28242	16024
319	28340	15941
320	28448	15863
