iter	Logloss
0	0.6848093672
1	0.6754069868
2	0.6672472075
3	0.6628053993
4	0.6536775192
5	0.6484728804
6	0.6388094159
7	0.6338245606
8	0.6280235083
9	0.6227510029
10	0.620044388
11	0.6131564442
12	0.6076489616
13	0.602038304
14	0.5986401406
15	0.5956599716
16	0.5908241723
17	0.5851016138
18	0.5824382865
19	0.5785705556
20	0.5738699502
21	0.5695834653
22	0.5662025728
23	0.5632330915
24	0.5598912164
25	0.5569380689
26	0.5549645171
27	0.553204321
28	0.5516987769
29	0.5494529936
30	0.5477013005
31	0.5459851472
32	0.5446693152
33	0.5421453482
34	0.5403617786
35	0.5385575316
36	0.5369089964
37	0.53534745
38	0.5336444965
39	0.5321031622
40	0.5308588081
41	0.5287670162
42	0.5274194735
43	0.5262144346
44	0.5247750507
45	0.5240684289
46	0.52298677
47	0.5220118235
48	0.5208228978
49	0.5194142672
50	0.5187815077
51	0.5180748363
52	0.5176904767
53	0.5160586723
54	0.5150761007
55	0.5135637525
56	0.5129213815
57	0.5118331788
58	0.5109470798
59	0.5104677098
60	0.5096895617
61	0.5091044599
62	0.5087144202
63	0.5085018468
64	0.5078982591
65	0.5070099476
66	0.506096829
67	0.5050492994
68	0.5048460042
69	0.5042586668
70	0.503458389
71	0.5031029037
72	0.5022368238
73	0.5018818117
74	0.5012556783
75	0.5008236785
76	0.5002988037
77	0.4992464655
78	0.4986345692
79	0.4981763397
80	0.4978611476
81	0.4977132709
82	0.4973107604
83	0.4970305673
84	0.4964120044
85	0.4959170463
86	0.4956957691
87	0.4951408029
88	0.4947164767
89	0.4944465362
90	0.4942744677
91	0.4936585819
92	0.4935974499
93	0.493010931
94	0.4924292016
95	0.491942418
96	0.4916896491
97	0.4912835859
98	0.4910639635
99	0.4906495616
100	0.49023769
101	0.4899418457
102	0.4892192628
103	0.4890913587
104	0.4886251074
105	0.4882955799
106	0.4879931607
107	0.4873279891
108	0.4868644639
109	0.4867347145
110	0.4865703287
111	0.4860807901
112	0.4856911153
113	0.4853508126
114	0.4849125603
115	0.4844957499
116	0.484296203
117	0.4840248274
118	0.4836816437
119	0.4831240833
120	0.4828987883
121	0.4827629439
122	0.4822221539
123	0.4821338749
124	0.4818258502
125	0.4815030299
126	0.481315765
127	0.4808871869
128	0.4803884781
129	0.4802135501
130	0.4800069689
131	0.4797610575
132	0.4793880554
133	0.4791253829
134	0.4784631442
135	0.478081103
136	0.4777184498
137	0.4774155302
138	0.4770696221
139	0.4767571707
140	0.476653025
141	0.4764138243
142	0.4761170966
143	0.4757129654
144	0.4755939969
145	0.4753851195
146	0.4751600577
147	0.4749111664
148	0.4747409235
149	0.4746036015
150	0.4742082928
151	0.4740042862
152	0.4737735037
153	0.4736195174
