iter	Logloss
0	0.6840426069
1	0.6757025742
2	0.6663226749
3	0.6589477916
4	0.6517764173
5	0.6442379401
6	0.6379872624
7	0.6320509923
8	0.6250248054
9	0.618020114
10	0.6130012176
11	0.6080946568
12	0.6034063845
13	0.5985671842
14	0.5947654629
15	0.5890903094
16	0.5844827334
17	0.5802261777
18	0.5757564496
19	0.5727839848
20	0.5682297568
21	0.5638643494
22	0.5597807783
23	0.5572167193
24	0.5534847038
25	0.5501817527
26	0.5485751658
27	0.5461802636
28	0.5424766096
29	0.5397073743
30	0.5371491265
31	0.534204952
32	0.5319976377
33	0.5298431001
34	0.5271210816
35	0.525078896
36	0.5232844864
37	0.5207924529
38	0.5189667061
39	0.5162603044
40	0.5138872159
41	0.5121876827
42	0.5106004257
43	0.5091259414
44	0.5079480964
45	0.5067023287
46	0.5045890029
47	0.5031598846
48	0.5021380396
49	0.5012945905
50	0.499828454
51	0.4981436837
52	0.4971754679
53	0.4957197568
54	0.4946459192
55	0.4926242488
56	0.4913893173
57	0.4905676845
58	0.489271986
59	0.4877258082
60	0.4866888376
61	0.4857813661
62	0.4846181592
63	0.4839760563
64	0.4826013251
65	0.481469247
66	0.480357602
67	0.4793324681
68	0.478478619
69	0.4772221982
70	0.476697199
71	0.4758948302
72	0.4750778608
73	0.474244981
74	0.4733799372
75	0.4727345022
76	0.4721382666
77	0.4713688361
78	0.4707068654
79	0.4701028079
80	0.4694242721
81	0.4686163465
82	0.4677677106
83	0.4671630712
84	0.4665592787
85	0.4658724517
86	0.4650967631
87	0.4641400067
88	0.4633631613
89	0.4628156859
90	0.462401427
91	0.4618388131
92	0.4613619167
93	0.4610333701
94	0.4603031673
95	0.4594730614
96	0.459021024
97	0.4582997514
98	0.4579082758
99	0.4573028966
100	0.4567425878
101	0.4563687751
102	0.4559386308
103	0.4554718676
104	0.4550124326
105	0.4546958053
106	0.4544475986
107	0.4540673229
108	0.4535802685
109	0.4530814758
110	0.4527397269
111	0.4524622214
112	0.4521021254
113	0.4516867407
114	0.4514145501
115	0.4509791705
116	0.450793225
117	0.4504601865
118	0.4502729557
119	0.4500392521
120	0.4495904966
121	0.449013424
122	0.4487148216
123	0.448273728
124	0.4480341795
125	0.4477483351
126	0.4474991329
127	0.4473080292
128	0.4470677957
129	0.4468656493
