iter	Passed	Remaining
0	131	65646
1	269	67012
2	422	70026
3	562	69728
4	720	71370
5	843	69486
6	975	68705
7	1110	68316
8	1249	68191
9	1404	68800
10	1536	68312
11	1688	68648
12	1840	68945
13	1988	69040
14	2102	67996
15	2225	67336
16	2345	66646
17	2483	66493
18	2607	66005
19	2741	65799
20	2895	66039
21	3016	65530
22	3169	65728
23	3315	65760
24	3479	66114
25	3632	66221
26	3757	65830
27	3930	66253
28	4055	65865
29	4198	65773
30	4315	65292
31	4472	65406
32	4606	65187
33	4761	65258
34	4891	64981
35	5026	64791
36	5139	64307
37	5286	64275
38	5433	64221
39	5570	64062
40	5697	63783
41	5843	63721
42	5975	63507
43	6106	63283
44	6215	62849
45	6344	62614
46	6473	62390
47	6632	62460
48	6739	62031
49	6883	61955
50	7003	61662
51	7127	61406
52	7327	61797
53	7428	61356
54	7557	61149
55	7685	60934
56	7829	60848
57	7973	60764
58	8122	60709
59	8256	60545
60	8383	60336
61	8502	60068
62	8645	59972
63	8772	59762
64	8905	59601
65	9051	59518
66	9174	59292
67	9299	59076
68	9415	58811
69	9539	58600
70	9676	58467
71	9831	58440
72	9954	58227
73	10093	58106
74	10240	58030
75	10368	57845
76	10488	57618
77	10638	57557
78	10783	57466
79	10916	57310
80	11029	57051
81	11135	56761
82	11244	56491
83	11388	56399
84	11499	56142
85	11586	55777
86	11690	55494
87	11810	55294
88	11951	55190
89	12069	54984
90	12188	54782
91	12314	54611
92	12452	54494
93	12563	54262
94	12692	54110
95	12830	53992
96	12979	53926
97	13109	53775
98	13231	53593
99	13371	53485
100	13508	53366
101	13632	53192
102	13781	53117
103	13893	52902
104	14016	52728
105	14101	52415
106	14205	52175
107	14324	51993
108	14499	52012
109	14647	51933
110	14793	51845
111	14895	51603
112	15018	51435
113	15139	51262
114	15242	51030
115	15368	50875
116	15470	50643
117	15603	50514
118	15722	50336
119	15824	50111
120	15940	49928
121	16074	49806
122	16227	49736
123	16331	49521
124	16478	49435
125	16606	49291
126	16733	49145
127	16845	48957
128	16952	48755
129	17060	48556
130	17189	48419
131	17302	48237
132	17415	48055
133	17528	47876
134	17656	47739
135	17779	47586
136	17866	47340
137	18017	47262
138	18155	47153
139	18290	47032
140	18410	46875
141	18551	46771
142	18685	46649
143	18796	46469
144	18947	46388
145	19084	46272
146	19188	46077
147	19309	45926
148	19430	45773
149	19544	45604
150	19631	45373
151	19785	45297
152	19871	45068
153	19963	44853
154	20077	44688
155	20181	44502
156	20297	44344
157	20419	44199
158	20548	44070
159	20643	43867
160	20768	43730
161	20891	43587
162	21015	43448
163	21142	43316
164	21274	43194
165	21403	43064
166	21518	42908
167	21613	42712
168	21750	42599
169	21850	42415
170	21964	42258
171	22088	42123
172	22202	41966
173	22321	41821
174	22445	41685
175	22556	41524
176	22662	41356
177	22749	41154
178	22833	40947
179	22935	40774
180	23055	40633
181	23162	40470
182	23317	40391
183	23431	40241
184	23549	40098
185	23659	39941
186	23793	39825
187	23948	39744
188	24093	39645
189	24238	39547
190	24349	39392
191	24471	39256
192	24622	39166
193	24752	39041
194	24936	39003
195	25083	38904
196	25253	38842
197	25399	38741
198	25599	38721
199	25721	38582
200	25904	38534
201	26076	38469
202	26249	38404
203	26418	38332
204	26602	38281
205	26768	38203
206	26928	38116
207	27076	38010
208	27238	37926
209	27395	37831
210	27520	37694
211	27643	37552
212	27780	37431
213	27959	37365
214	28138	37300
215	28304	37214
216	28434	37083
217	28592	36987
218	28753	36894
219	28913	36799
220	29074	36705
221	29228	36601
222	29321	36421
223	29470	36311
224	29652	36242
225	29759	36080
226	29915	35977
227	30081	35886
228	30267	35818
229	30414	35704
230	30577	35608
231	30734	35503
232	30922	35435
233	31019	35261
234	31261	35252
235	31439	35169
236	31608	35075
237	31734	34934
238	31897	34833
239	32049	34720
240	32174	34577
241	32362	34502
242	32546	34421
243	32698	34306
244	32809	34148
245	32941	34013
246	33086	33890
247	33224	33760
248	33410	33679
249	33594	33594
250	33751	33482
251	33909	33371
252	34073	33265
253	34285	33205
254	34446	33095
255	34636	33012
256	34795	32900
257	34974	32805
258	35136	32694
259	35255	32543
260	35403	32419
261	35524	32270
262	35687	32159
263	35832	32031
264	35998	31923
265	36170	31818
266	36286	31665
267	36473	31574
268	36621	31448
269	36751	31306
270	36893	31175
271	37039	31047
272	37150	30890
273	37308	30772
274	37471	30658
275	37657	30562
276	37822	30449
277	37983	30331
278	38106	30185
279	38271	30070
280	38421	29944
281	38576	29821
282	38734	29701
283	38847	29545
284	38991	29414
285	39168	29308
286	39332	29191
287	39488	29067
288	39642	28942
289	39799	28820
290	39944	28688
291	40076	28547
292	40234	28424
293	40416	28319
294	40580	28199
295	40724	28066
296	40868	27933
297	41001	27792
298	41181	27684
